Stars,Titles,Comments
5.0 out of 5 stars,They were a gift and the recipient loved them.,Item was as described.  Shipping was quick.  They were a gift and the recipient loved them.
5.0 out of 5 stars,Five Stars,"My 14 year old son says these are the best, uses them snowboarding all the time"
1.0 out of 5 stars,Does not fit either Zionor Goggles that I own,I own two different pairs of these goggles.  This replacement lens does not fit either.  Don't assume they do before you buy
5.0 out of 5 stars,Five Stars,"excellent goggles, cant wait until winterrrrrr in 2 months!"
5.0 out of 5 stars,Worth it!!!,Very good product!!
5.0 out of 5 stars,Five Stars,Nice Google lens.
5.0 out of 5 stars,Love theses. No fog and quality lenses,Love theses.  No fog and quality lenses.  Pop out easily with magnet to swap lenses
5.0 out of 5 stars,The lens is very fog resistant and they are super comfortable.,These are unbeatable for the price. The lens is very fog resistant and they are super comfortable.
5.0 out of 5 stars,Five Stars,This helps me to enjoy the season!
3.0 out of 5 stars,Scratches,Scratches and smudges super easily
5.0 out of 5 stars,For the price amazing quality!,Got 3 pairs of these goggles. For the price amazing quality!
1.0 out of 5 stars,Useless buy a real goggle. You get what you pay for,This is a useless goggle. I literally couldn't use it foe one minute as it started to fog the moment i wore it
5.0 out of 5 stars,Five Stars,"Just went skiing with them and they were amazing, even if my skills were not"
2.0 out of 5 stars,Meh,Spend the extra money on some Scotts or Oakleys
5.0 out of 5 stars,Five Stars,Love them!
2.0 out of 5 stars,Used for snowmobiling one day and the did a good job. Snowboarding the next not so much,Used for snowmobiling one day and the did a good job. Snowboarding the next not so much.  They froze up and I couldn't see. Not very good when you're halfway down the mountain.  Spend a little more and get something that will last you longer.
5.0 out of 5 stars,Five Stars,"Won't fit over prescription glasses, thought they were larger."
5.0 out of 5 stars,Definitely worth the buy!!,They are really clear and they rarely ever fog up. Overall I am satisfied with them.
3.0 out of 5 stars,Nice cheap goggles,"Writing on band is ""Be Nice"", would have been nice to know B4 purchase, lens works great"
5.0 out of 5 stars,Awesome!,These arrived quickly and are awesome. Great Christmas gift !
5.0 out of 5 stars,Five Stars,"Nice goggles, they do not fog up, and they are very good for shielding your eyes from ultraviolet rays."
5.0 out of 5 stars,Great looking goggles at a great price,Wife loves them!
5.0 out of 5 stars,Five Stars,"Great fit, really good fog prevention, removable lense...and a good price to boot. (thumbs up)"
5.0 out of 5 stars,Five Stars,Great for visibility and they are very comfortable.
3.0 out of 5 stars,Three Stars,scratches very easy and fogs up as well
1.0 out of 5 stars,"Lenses scratch extremely easily, constant fog on along the top.","I've used these goggles four times now at Breck, Keystone and Vail and when not in use I keep them in the protective cloth cover. Each time I use them I find a new scratch on the lens. During a particularly heavy snow day they completely fogged up, then froze. I had to take them off to get down the mountain. I've switched back to my old pair."
5.0 out of 5 stars,Five Stars,So happy with my Zionor ski goggles.  Fantastic quality at a great price.
5.0 out of 5 stars,Five Stars,"Excellent, just what I expected and wanted. Very satisfied."
5.0 out of 5 stars,Five Stars,Loved it!
5.0 out of 5 stars,Five Stars,Amazing goggles
5.0 out of 5 stars,Five Stars,Stellar goggles!
5.0 out of 5 stars,Great bug eye goggles.,Love the look.  Comfortable fit.  I rock em in the sun.
1.0 out of 5 stars,Color is off,18.4% blue lensesFacing head on these goggles are 50/50 blue/pink and at an angle you can see they??e almost all pink.  Also not friendly on glasses as my frame width is about 5 1/2??  Returning and already have another brand on the way
1.0 out of 5 stars,CRAP,Fogged up in between lenses!! Could not even wipe it off
5.0 out of 5 stars,Five Stars,"Great Value, all googles essentially do the same things"
1.0 out of 5 stars,Not anti-fog,"Unfortunately, the lens I?? received was not anti-fog. I had no visibility on the summit with the cold air."
1.0 out of 5 stars,Lens failure - water gets trapped inside,Only lasted for one season. Water started getting inside the space between the lens.
5.0 out of 5 stars,Great buy,Great goggles. Worth way more than they cost! Didn't fog up one after ten hours on the mountain!??
5.0 out of 5 stars,Five Stars,"great product, rarely fog!! definitely worth it"
5.0 out of 5 stars,Five Stars,so far so good! they dont fog
5.0 out of 5 stars,Great,"Best goggles for the price! Didnt fog up once, great visibility, and very comfy."
1.0 out of 5 stars,Save your $$,"Complete waste of $$ when you cannot see out of them, they let in so much moisture that it froze & I couldn't even clear them out. I actually brought the storage bag (IFU states that it for lense cleaning) with me & even that wouldn't clear them up. Utter waste of $$ - guess I should have known better with the price."
5.0 out of 5 stars,fit great. Awesome,"Just returned from Breck. 13 degrees for the high. No fogging, fit great. Awesome."
5.0 out of 5 stars,no need to waste hundreds for nice goggles,Fog free in any weather. no need to waste hundreds for nice goggles
1.0 out of 5 stars,"Yes they where inexpensive,  but a waste of money",These goggles fogged up and then the lens froze up. We couldn't see out of them!
5.0 out of 5 stars,Five Stars,Love it
5.0 out of 5 stars,Five Stars,"What a great pair of goggles, fantastically functional at a great price"
5.0 out of 5 stars,Five Stars,"Love these, worked great when snowboarding."
5.0 out of 5 stars,Five Stars,"comfortable, aesthetic, efficient, reasonable pricerecommend this product"
1.0 out of 5 stars,and starting to fade and look terrible. Also,"I have had Oakley goggles for many years.  Thought I would try a new brand, and couldnt beat the price.  I have used the goggles 3 times now and they are scratched, and starting to fade and look terrible.  Also, they vent horribly, so on a cold day all you see is fog.  Would not recommend this item at all."
5.0 out of 5 stars,Five Stars,my bf likes it
5.0 out of 5 stars,Five Stars,Son loves his.
5.0 out of 5 stars,Five Stars,So happy with mine look just like the pic and shipped fast
5.0 out of 5 stars,NO FOG GOGGLES!!!!,PERCECT!! FINALLY NO FOGGED GOGGLES
5.0 out of 5 stars,Excellent goggles look great,Excellent  goggles look great
5.0 out of 5 stars,I would recommended,Good quality for the price
5.0 out of 5 stars,Five Stars,They were great with a good field of view
2.0 out of 5 stars,Film scratches off too easily,The outer reflective film scratched off too easily it seemed.
1.0 out of 5 stars,Over Glasses?,Description said these goggles went over glasses.  I have three family members that where glasses - they did not go over any of them.
5.0 out of 5 stars,Five Stars,love it. But still did not use. hope I`ll be satisfied.
5.0 out of 5 stars,great purchase,Excellent product for the price.
5.0 out of 5 stars,Five Stars,Work great.
2.0 out of 5 stars,Coating didn't last one run.,Maybe the coating on my lenses wasn't baked on all the way? It practically blew off.
5.0 out of 5 stars,Five Stars,Looks very cool and all my friends love it!
5.0 out of 5 stars,Five Stars,Exactly as described.
5.0 out of 5 stars,Great goggles,Does the job to protect my eyes while skiing
5.0 out of 5 stars,Five Stars,Great quality for the price
1.0 out of 5 stars,Fog,Fogs often while snowboarding.
5.0 out of 5 stars,Five Stars,Cost performance is good!
5.0 out of 5 stars,Five Stars,Great !
5.0 out of 5 stars,Five Stars,Great fit. Beautiful blue color lens. No problems.
5.0 out of 5 stars,Five Stars,sweet
5.0 out of 5 stars,Booyaa!,I love these goggles. They work and look great.
5.0 out of 5 stars,Five Stars,Does exactly what I want. Minimal fogging.
5.0 out of 5 stars,Five Stars,Awesome goggles!! They look great on the mountain
5.0 out of 5 stars,Five Stars,Worked great in all conditions
2.0 out of 5 stars,Just ok,"The description is a little deceiving. These definitely do fog, and they are not truly mirrored. Your eyes can be seen through these. They also have a yellow tint."
5.0 out of 5 stars,Nice product. I recommend it,Nice product.I recommend it
5.0 out of 5 stars,Five Stars,my son really likes his goggles
5.0 out of 5 stars,Five Stars,Got these for my husband and he loved them!!
5.0 out of 5 stars,Five Stars,Love them!
5.0 out of 5 stars,Fog free and comfortable,Comfortable and can be worn over glasses
5.0 out of 5 stars,Five Stars,Love them!
1.0 out of 5 stars,... seal at all on these goggles it isn't very good. I keep all my equipment in a heated ...,If there is a seal at all on these goggles it isn't very good. I keep all my equipment in a heated garage after snowboarding and take really good care of my goggles but these are always full of condensation between the lenses for a few days after using them.
5.0 out of 5 stars,Five Stars,"Sick goggles. Only wish the ""be nice"" band was shown in pics"
5.0 out of 5 stars,Five Stars,Great
1.0 out of 5 stars,Too small to fit any glasses at all,Adversized for glass fit but way too small. Lens also come in a bit scratched.
5.0 out of 5 stars,Five Stars,Thank you
1.0 out of 5 stars,Did not come with instructions on how to change the ...,"Did not come with instructions on how to change the lenses. The website doesn't give illustrations. I'm afraid I am going to break the lenses, trying to remove them to change out tge lenses."
5.0 out of 5 stars,Five Stars,very nice product. love the mirror lens
5.0 out of 5 stars,Five Stars,"real nice, look and work great good buy."
1.0 out of 5 stars,The mirror finish doesn't last :(,"I used these goggles once and the mirror finish on the outside of the lens has already begun to wear away. They were great goggles otherwise though, maybe I got a lemon..."
5.0 out of 5 stars,Five Stars,Amazing for my Ski Trip
5.0 out of 5 stars,Five Stars,Great product all around
5.0 out of 5 stars,Five Stars,Good price for quality products.
5.0 out of 5 stars,Amazing,No complaints at all.
5.0 out of 5 stars,Five Stars,Excellent in bright snowy slopes
5.0 out of 5 stars,Five Stars,really great but too large
5.0 out of 5 stars,Five Stars,Good
2.0 out of 5 stars,Two Stars,Bad finishing
5.0 out of 5 stars,Five Stars,10/10 good perfect fit fancy
5.0 out of 5 stars,Five Stars,awesome for the price
5.0 out of 5 stars,They work very well.,They  work very well.
5.0 out of 5 stars,BE READY FOR COMPLIMENTS,it looks and feels great
5.0 out of 5 stars,Five Stars,Pretty big on your face.
5.0 out of 5 stars,Awesome,Very useful when snowboarding.
5.0 out of 5 stars,Five Stars,Great product... Used goggles for skiing in Utah...
5.0 out of 5 stars,Five Stars,Good goggles
5.0 out of 5 stars,Five Stars,Looks great and works great.
5.0 out of 5 stars,Five Stars,Amazing. Very admired.by.friends.and acquaintances
5.0 out of 5 stars,Five Stars,Item arrived on time and great quality! Love them!
5.0 out of 5 stars,Five Stars,Nice pair of goggles
5.0 out of 5 stars,My son loves his goggles!,My son loves his goggles!
5.0 out of 5 stars,Five Stars,These are great!
5.0 out of 5 stars,Five Stars,Excellent we're ordering them again!!
5.0 out of 5 stars,Five Stars,Excellent ski goggles
5.0 out of 5 stars,Five Stars,Love 'em!
5.0 out of 5 stars,Five Stars,Good product. Great price!
2.0 out of 5 stars,Two Stars,Looks great. Defogs decently. Very very hard to see contrasts in the snow
2.0 out of 5 stars,Two Stars,They should be wider.
5.0 out of 5 stars,Five Stars,Fantastic value
5.0 out of 5 stars,Five Stars,Son loved
5.0 out of 5 stars,Five Stars,Great business A++++++
5.0 out of 5 stars,Five Stars,Perfect and comfortable.
5.0 out of 5 stars,Five Stars,great
5.0 out of 5 stars,Five Stars,Percent
5.0 out of 5 stars,Five Stars,Awesome googles!
5.0 out of 5 stars,loved these goggles!,Loved these!
4.0 out of 5 stars,Super solid goggle for super solid price,"OVERALL: 8/10I was originally not sure about buying off-brand goggles like these, but the quality is great and you cannot tell the difference between these and a far more expensive and very similar pair of Electric EG2s (except if you buy polarized lenses). Some new brand-name companies like Deft Optics, Aura Optics, and Glade Goggles are selling these exact (and I mean exact, same manufacturer) goggles rebranded for more $. If you think it's risky to buy these non-brand name gogs, have no fear, they're just as good as anything else.These goggles have performed awesome in my 6 days of use so far- I bought the black frame with silver/black mirror lens.Qualities:MATERIALS/CONSTRUCTION QUALITY: 8/10. Frame and lens look and feel high quality. Goggle strap is made of quality materials but has an overly simple design using just 2 large triglide buckles (look them up, you'll see what I'm talking about) for adjustment, so the google strap is double thick on the back of your head. I find that I have to slightly readjust the google strap one per ski day to keep the fir tight, but that is only because I constantly pull the goggles up and down over my face. The google strap does not have a silicon grip strip, so it does not stay in place as well as more expensive goggles, but it had not been a problem for me.DURABILITY: 9/10, only one lens scratch after many hard face plants in the park. My last pair of expensive high end VonZipper goggles also had a silver/black mirror lens, but they got scratched up as hell super fast. Not the case here, very happy with the coating.CLARITY: 6.5/10. *Disclaimer: I like very clear vision when I ski, and no pair of goggles I've ever had, including name-brand ones ones rated highly for clarity, have felt clear enough to me. Keep this in mind when reading.* This is where you get what you pay for a bit, but overall the clarity is good and the googles are fully usable. From the inside, the goggles make everything look an brown-orange amber until your vision adjusts, which I like better than other shades since it's warm. For me, the lens's 17% VLT is fairly versatile, but my ideal VLT would be around 35% but I knew that going in. For ripping trails, I can use these goggles in 80% of lights. When it's super bright out, they're perfect as long as you don't look directly into the sun. When its dark or overcast but shadowy, they work fine for me, I can see bumps, slush, etc. in the snow clearly. When light is that super flat, impossible to tell typa way, I just ski slower so that I don't have to use the goggles; I usually put them up on my head. I ski mostly park, and when I go to hit a feature I often put them up, as I do with all goggles. I ski very fast on trails and in the trees, and I can always tell what's in front of me.*Important* These lenses are NOT polarized, so when you look directly at the sun, it makes it very hard to see, your whole field of vision gets white and blurry. But that is ONLY if you are focusing directly on the sun-- even if it's shining straight in your face, if you are not intentionally looking at it you're fine.Comes in bubble-wrapped envelope with goggle bag for storage and cleaning and nothing else. Don't worry about them getting damaged from not being in a boy, they're very flexible and scratch-resistant.OVERALL: 8/10 Best quality goggle for the money I've found. If you want to spend less than 65 bucks on new goggles, these are your best bet.I've really nitpicked negative things, overall I have no real single problem with them and I'm very happy with my purchase."
5.0 out of 5 stars,Exactly as ordered!,Fabulous goggles.....just what he wanted!!!
2.0 out of 5 stars,Two Stars,bad quality
5.0 out of 5 stars,Five Stars,Great glasses
5.0 out of 5 stars,Five Stars,Love them!
5.0 out of 5 stars,Five Stars,Good
5.0 out of 5 stars,Five Stars,Great lens!
5.0 out of 5 stars,Five Stars,Tubular goggles man
5.0 out of 5 stars,Five Stars,Great goggles - great price!
5.0 out of 5 stars,Five Stars,Good product no issues
5.0 out of 5 stars,Five Stars,Looks and Fits great!
3.0 out of 5 stars,OK without glasses,"Due to multiple eye surgeries, my eyes are sensitive to cold. I bought these to keep my eyes warm while xcountry skiing. It works well for that, but I found if I wear my glasses underneath, my glasses fog up. Even without my glasses they fog up a bit. I would say that xcountry skiing presents different challenges for goggles than downhill skiing. They might be better for that."
5.0 out of 5 stars,Five Stars,Good product
1.0 out of 5 stars,Doesn't look new at all,the goggles look clearly worn :(
1.0 out of 5 stars,The best part was amazons return,Goggles came cracked. The best part was amazons return capabilities
5.0 out of 5 stars,Great quality and affordable.,"Easy to use, don?? scratch or fog. Numerous style options."
1.0 out of 5 stars,FOGGED ON THE FIRST USE CAUSED ME TO CRASH,FOGGED ON THE FIRST USE CAUSED ME TO CRASHGood fit
1.0 out of 5 stars,scratch on lens,Noticed as soon as I opened the package there is a minor scratch on left lens.
3.0 out of 5 stars,Good Value for Beginners,Very nice goggle for $30-$40. I bought a pair when I was in a pinch. Decent quality and if you enjoy skiing or snowboarding a few times a year these are great. If you are an avid rider I would spend the money on a more quality product.
1.0 out of 5 stars,DO NOT BUY,Goggles were not mirrored at all just see through black.
1.0 out of 5 stars,Foggy all the time,Fogged up way bad when I used them they sucked bad
4.0 out of 5 stars,Cheaply made. Cheap Materials. Warranty Honored and Product Replaced for Free!!,"UPDATED REVIEWThe Zionor company honored the warranty after I emailed them, sent me a BRAND NEW pair of goggles for Free. Took about two weeks for the whole process.I'm glad I have another set of goggles to test out next season. Here's to hoping it was a manufacturer defect and these will stand the test of time and moderate use.THANKS ZIONOR!!ORIGINAL REVIEW""My girlfriend bought these for me last February. I wore them twice since buying them.12 hours snowboarding, no bad falls, well taken care of, properly stored; and they break from where the strap connects to the plastic lens housing.They broke while they were on my head, loosely tightened, in 50 degree weather.I wore them for a total of 12 hours before they broke.Paint is already chipping off the plastic housing for the lens.These goggles look great, and the company says they come with a warranty.I am contacting them with hopes of resolving the manufacturer product defect.I will update my rating and review based off of how they handle the situation.For now, I wouldn't invest your money into these cheaply made goggles."""
1.0 out of 5 stars,One Star,Very misleading on lens color double check before u order
1.0 out of 5 stars,One Star,Scratched on lens
1.0 out of 5 stars,One Star,Lousy
1.0 out of 5 stars,One Star,So reallyy bad this item .
4.0 out of 5 stars,They worked out well,They were a Christmas present for my granddaughter.  She liked them.
3.0 out of 5 stars,Too small for my face,"Very nice looking goggles, but were too small for my face."
1.0 out of 5 stars,Don't waste your money,Hard to get on camera but the mirror just wipes off and they fog up worse than any other goggles I've ever owned
5.0 out of 5 stars,Good for the price,Very comfortable. Fits over my glasses really well. Great for the price.
1.0 out of 5 stars,Doesn?? fit over glasses,To small to fit over rx glasses
5.0 out of 5 stars,Fun in sun,Great cost effective glasses
4.0 out of 5 stars,The google was delivered as expected. The vision coverage ...,"The google was delivered as expected. The vision coverage is wide, but one has to move the head down in order to view beneath. Fog will form immediately if you put up the google on the forehead. Think it is unavoidable."
4.0 out of 5 stars,Fits well - but haven't used in the snow yet.,Haven't used them in the snow yet.  Looking forward to it!
4.0 out of 5 stars,scratched easily,"good vision and it does last for awhile, but mine got scratched easily"
3.0 out of 5 stars,Scratch easily,"I wore these goggles for a week straight in Vermont and they were perfect! loved the lens, fit perfectly and got a lot of positive comments. I wore them again when I went on a ski trip to Mont Tremblant, Canada and out of no where they got destroyed! the lens easily gets scratched and after I skied under one snow blower that blew ice on my goggles, the reflectiveness of the goggles rubbed off. As the ice melted away and got rubbed off, so did the cool reflective mirror lens. It is now completely destroyed and i am utterly disappointed especially since these are goggles priced in the 50s and claim they used to be close to $200 worth."
4.0 out of 5 stars,Four Stars,Cool down hill skiing goggles
5.0 out of 5 stars,Solid Goggles,"I have high light, mid light and low light lenses for these and all work well.  For the price these goggles work well.  I use these in UT.  These goggles let more wind in through the vent mesh than my last pair of SPY goggles, it is their only drawback."
2.0 out of 5 stars,"Not bad for the price, , but I would spend the money and get a quality product","I think this is a you get what you pay for - yes these will keep snow out of your eye, but the optical qualities of their lens is vastly inferior.Additionally the actual Field Of View (FOV) is much smaller than a set from Oakley.  I know huge price difference, but  the difference is huge.  I was gifted a set of Oakley's at the same time I had purchased these and just got back from the slopes.  I had a couple of days with low light and one with bright light.  The Oakley set I had two lens with it and the Zionor I had to purchase a second lens. ((VLT 12.8% Polarized Gold Lens)Besides the larger FOV, the difference was really surprising to me. Even with the lightly tinted lenses of the Oakley brand, it did better in the low light AND bright light conditions than either the base lens Or the polarized lens of the Zionor.In specific to the (VLT 12.8% Polarized Gold Lens)  - gives a really BAD double reflection inside the lens even in the slightest shadows making it tough to see.  The polarization on the lens itself (at least on mine) seemed to be in the wrong direction.  It was oriented such that polarization was in the horizontal rather than vertical direction, meaning you have to tilt your head almost 45 degrees to really cut down on the slope glare.  If I had still been in the return window, these would have gone back!I'm really grateful, I received the Oakley pair as a present, but having the two side by side, I would gladly have forked over the extra money for a product with higher optical quality.  If you're going to trash your goggles and get rid of them after a season, sure get the Zionor, but if you're going to be moderately careful, then spend the cash and go for Oakley or other brand that gets a larger FOV and quality optics."
5.0 out of 5 stars,I would recommend these goggles.,"Goggles worked great.  No fogging, crystal clear and reduced all of the glare while snowboarding.  I would recommend these.  They were comfortable when wearing them for 6 hr a day for 2 days."
5.0 out of 5 stars,Buy Them you cant get much better,"These goggles are prime. I got them on the cyber Monday sale and they were a steal. I absolutely love them for snowboarding. They don't fog unless you breath straight into them. Its a super wide view and the lens that came with it were very neutral so I don't change it for different snow conditions. The band is tight and to adjust them is a little tedious because you have to adjust two different tabs, however this definitely keeps it from loosening so I don't mind it. The strap also has the Logo on the inside as rubber to provide grip to stay on which is really nice since I wear a helmet so they don't slide off.I highly recommend them as an intermediate Snowboarder myself and I don't see myself need any other goggles any time soon."
5.0 out of 5 stars,Best Goggles Ever,"This was by far the best pair of goggles I have used in my life. Not only do they look amazing but the huge lens allowed a much larger viewing radius then the previous goggles I used, oh and those huge lenses are magnetic and can be changed between multiple lenses in seconds. Everyone who I showed this too asked, ""Would they fall off if you crashed?"" I tried multiple things (Including taking a few tumbles) and the lens would not come off on the slope. In addition to this, the lens would not fog, i even tried. The farthest I could get them to fog was about the bottom cm, not once could I get them to fog up. Not only is this the pair of goggles with the biggest viewing radius ive used, but they are also the clearest, best looking and nicest goggles ive used. Contact me at tkonrath06@gmail.com for questions about them."
5.0 out of 5 stars,The only brand you will ever use again,"Excellent googles!!  Very comfortable, do not fog up and the lens quality is first rate. Don?? waste tons of money on some Oakley?? or Smith??. These are the only way to go!"
5.0 out of 5 stars,AMAZING. Better than $150+ goggles!!,"These goggles are amazing.  We live in Utah where the weather really changes throughout the day.  It will go from dark as night to blazing sun, haze, and then start snowing, all before noon.  These goggles are great in any and all conditions. They don't fog up, they are comfortable on your face, and make snowboarding so much more enjoyable.  (Plus the looks and compliments people give you are great too.) I also love that you can switch out the lens. My husband and I will trade lenses from time to time, and we have a few spares we like to mix it up with also. These really are attention grabbing goggles. Buy them!  You won't regret it."
5.0 out of 5 stars,These are Sweet!,These are sweet!!! Definitely wide and I feel it gives more vision than other goggles. The amount of light let in is perfect and I would go with these goggles.
5.0 out of 5 stars,Ski goggles,"Great product, very happy with it. Just one grouse that it does not come in a box to protect the glasses :-/"
5.0 out of 5 stars,Amazing Goggles Especially for the Price,I absolutely loved these goggles. The color looks exactly like the photo and they work amazingly. They are worth the price and definitely better than high priced ones or name brand ones. On the slopes (Colorado) I see a lot of people wearing them so that confirms my review that they are a good brand to go with. They also come with a carrying bag which is helpful when traveling. Mine only seemed to fog up when I would pull them onto my helmet but it was an easy fix.
5.0 out of 5 stars,No foggy,Love them
5.0 out of 5 stars,These goggles are great..,"These goggles are great...especially for the price! My glasses were to big to wear under them, but I they are very clear and I had no problems seeing. They never fogged up on me!"
5.0 out of 5 stars,Comfortable!!,"The Zionor snow goggles are fantastic! They feel super comfortable to the face and the visuals are clear. The elastic band is also super comfortable and easy to adjust. Only tiny set back is the fog it develops inside the goggles, but I'm sure I can add a layer of anti-fog ointment to the inside and they'll be fine. Great buy if you're looking for snowboard goggles. Worth the price."
5.0 out of 5 stars,Five Stars,These are amazing and ordered pair for my boyfriend.  He loves them!
5.0 out of 5 stars,Great Goggles,"Even prettier than in the photo. It's very comfortable! I loved it. At first, I thought it would be too big for my face, but it fits perfectly."
3.0 out of 5 stars,Decent Goggles for the price,These goggles were pretty good for about two season but the vents have ripped and they fog more then ever.
5.0 out of 5 stars,Five Stars,For the price great! I could wear my glasses with these.
3.0 out of 5 stars,Smaller Than They Look - Not Good For Big Faces,"These are not as big as they look. If you wear a size large helmet, the field of vision will probably be too small for you. For the money, these are really nice. But they're no wear near as big as top of the line Electric's and Oakley's which provide a MUCH better field of vision. These would  be good for people with small faces and kids. That being said, if you're used to older style, small goggles these will be a step up for you. But if you've used any oversized goggles before (Smith I/O, Electric EG2, etc.), you will not like these. They do not compare."
5.0 out of 5 stars,I paired them with EK Cat Crap and I could breathe right into them with no ...,I have only used these one day on the mountain. They have exceeded my expectations thusfar. I paired them with EK Cat Crap and I could breathe right into them with no fog. The lenses appear very clear and scratch resistant. I like how quickly I can switch them out if needed.
5.0 out of 5 stars,Five Stars,"Great, especially for the price."
5.0 out of 5 stars,Five Stars,Comfortable and great visibility!
5.0 out of 5 stars,Great Deal.,Loved the googles. It fit well and looked great. The lens was perfect and I could see well. I think the price/value was way better than the $300 googles that come from the name brand googles.
5.0 out of 5 stars,Five Stars,Like thees googles
3.0 out of 5 stars,so so,not the best quality but for the price 3 star. fit is ok band seems to loosen too easy. lens seems to be ok so far not expecting it to last very long.
5.0 out of 5 stars,great looks nice and fits over my glasses.,"Fits over my medium sized wide frame glasses, bought for winter walking to work. and also for bike riding in colder weather."
5.0 out of 5 stars,Outstanding,"Quality is excellent, they are extremely comfortable, and look awesome. Couldn't be happier with them."
5.0 out of 5 stars,Very confortable,"This is awesome fits over my glasses perfectly even looks good with my motorcycle helmet, I will be in the market with a more night visible lens."
5.0 out of 5 stars,Five Stars,Much needed
5.0 out of 5 stars,Zionor Ski Goggles,"My son I love these goggles, they work great."
3.0 out of 5 stars,Ok goggles. But cheap,"Good goggles, came with small scratch on the inside and every time you wipe the inside it flakes the tint. Pretty cheap stuff."
2.0 out of 5 stars,Too small,Nice looking goggles but they do not I repeat do not fit over glasses
1.0 out of 5 stars,Cheaply made and didn?? last.,I had a pair of Zionor goggles and they only lasted one season. Mind you I am from Florida so it?? not like I?? using them every weekend. This season I took them on my trip and both sides where the band attaches to the frames broke. Completely non-repairable. I will not buy them again because I think they are made very cheaply.
2.0 out of 5 stars,Scratched upon arrival.,"I was a little disappointed when this arrived as it is a brand new item and the lens was scratched. The quality of these goggles are the reason I bought them and I waited longer to get the polarized ones and now I might not be able to use them properly, or at all. How might this problem be rectified?"
1.0 out of 5 stars,Broke first time I put them on,I got these as a Christmas gift and the strap broke the very first time I put them on. Literally the first time I put them on. I think its probably hit and miss on the quality.
1.0 out of 5 stars,It's ONLY the detachable Lens - Not the goggles,"I received the lens only for my ski trip - too late to order a new pair.  It's not goggles, just the detachable lens."
1.0 out of 5 stars,Dont touch it!!!!!,"Buyer BEWARE!!!....these goggles wont last!!!!...i was happy with these goggles right after purchas...then i found You can NOT touch the lens!!!!!...you cant even clean it!!!!...they have 3 trips on them and are now JUNK!!!!!!..you CANT touch the lens!!!!!...they will scratch!!!... 2 of us in our group bought these goggles and both of us have the same scratched up lenses...im now using my old goggles....""DONT buy these goggles, you are wasting you money""...jus saying!"
5.0 out of 5 stars,Fog free biking.,"I have an electric pedal assist ebike and now that the temps are getting low I needed goggles to protect my eyes from the damaging effects of cold air. These work great. They don't fog up. I also like they're actually affordable and that they're clear. I prefer the clear ones because I can see everything as I normally would if I didn't have them on. The probably with darker visors, even ones that aren't terribly dark, is that they always make it harder to see certain things.I also like wearing clear goggles because I feel like drivers are more like to be empathetic because they can actually see your eyes and there's just that connection. Whereas goggles where they can't see your eyes can hinder that connection. Drivers are just more likely to be nice if there's some kind of connection, which makes sense. The goggles that aren't clear also come off more of a ""Chad-like"" personality when you're a cyclist. It just gives off the wrong impression."
5.0 out of 5 stars,Good Goggles,"Work great, but not that fog resistant. Needed a good gig resistant coating then they were solid and super comfy. Nice n plush. Would recommend."
5.0 out of 5 stars,Stylish and affordable,Great ski goggles at a great price. Perfect amount of blue tint for a sunny day and super stylish for the slopes!
5.0 out of 5 stars,Bought it for airsoft,"Bought an ""antifog"" set of airsoft goggles, and they ended up fogging up. Bought these, and after running outside for 2 or so hours wearing these goggles in 88?F in direct sunlight with me sweating, they only slightly fogged up, but not enough to complain about. This is a great deal for the price listed."
5.0 out of 5 stars,Good quality goggles,Used it during the recent snow boarding trip and it work out well. Goggles fits well and comfortable.
5.0 out of 5 stars,Comfortable wear,It looks good and very comfortable. Good price for it.
5.0 out of 5 stars,Wanted something specifically for night skiing,"Looks good, fits well"
5.0 out of 5 stars,Great Goggles for the Price,Worked great! I wore them with a helmet. Looks good and functions great.
5.0 out of 5 stars,Perfect for skiing,Great for the price!  They didn?? fog and fit well for skiing.
5.0 out of 5 stars,"Great buy, fits over my glasses perfectly",Fit over my glasses perfectly. I have the larger style lenses and frames and it provided perfect coverage and clarity. Would recommend
5.0 out of 5 stars,Great value great product,"Work well, great value"
5.0 out of 5 stars,Stylish!,Very nice!  Stylish!
5.0 out of 5 stars,Loved it!,Great product! It looks good and works real well! Prompt delivery. No problems!
5.0 out of 5 stars,Gr8 look!!,"Freaking awesome goggles, love them!"
5.0 out of 5 stars,Great fit.,love the way they fit.
5.0 out of 5 stars,As good as it is described!,"I just love it, thanks."
5.0 out of 5 stars,Great value,Fit well (comfortable) and visibility was great. No distortion.
5.0 out of 5 stars,Good price,My son loves these goggles. Good quality for the price.
5.0 out of 5 stars,Ok,Good for price paid
5.0 out of 5 stars,Awesome,I absolutely loved these.
5.0 out of 5 stars,Great for sledding,"These are great for sledding, and even just shoveling snow in brutal co dictionary. The snow and light don't blind my eyes."
5.0 out of 5 stars,Report abuse,Translate review to English
5.0 out of 5 stars,Severe weather ski goggles,"I've used them two times now and I've been very happy. They fit well, keep the cold out, and have great vision. They also seem very sturdy"
5.0 out of 5 stars,Snowboard goggles,Me and my brother bought the same goggles and absolutely loved them this product is a 10/10 the orange lens helped me see the detail in the snow while riding better than the naked eye. I literally had no issues whatsoever for the money you cannot beat this I would definitely recommend to a friend or family member ????
5.0 out of 5 stars,Best goggles!,"Fit great, wear while snow blowing. No snow in my face now! Recommend."
5.0 out of 5 stars,Report abuse,Translate review to English
